Código;Nombre común;Nombre científico;Tipo de planta;polinizacion;nivel_alergenico;toxicidad_mascotas;tipo_hoja;Estado
CA-253;;Pilosocereus azureus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-254;;Pilosocereus chrysostele;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-256;;Pilosocereus pachycladus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-184;;Pittosporum crassifolium;ARBUSTO;INSECTOS;1;NO_REPORTADO;PERENNE;ACTIVO
TR-375;;Platycerium bifurcatum;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-278;;Plectranthus argentatus;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-144;;Plectranthus barbatus;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-145;;Plectranthus caninus;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-270;;Plectranthus ecklonii 'Mona Lavender';SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-271;;Plectranthus glabratus;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-147;;Plectranthus montanus;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-277;;Plectranthus oertendahlii 'Lime Light';SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-008;;Pleiospilos nelii;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-185;;Plumbago indica;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-055;;Plumeria pudica;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-273;;Pogostemon cablin;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-260;;Polaskia chende;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-261;;Polaskia chichipe;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-090;;Polyscias fruticosa;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-091;;Polyscias scutellaria 'Fabian';HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-108;;Polystichum polyblepharum;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-348;;Portulacaria afra 'Lemon';CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-432;;Pouteria campechiana;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-050;;Pritchardia hillebrandii;PALMACEA;MIXTA;1;NO_REPORTADO;PERENNE;ACTIVO
TR-011;;Pseuderanthemum carruthersii 'Reticulatum';HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-324;;Psidium guajava;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-381;;Pteris cretica 'Albolineata';HERB_PERENNES;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
CA-384;;Pterodiscus speciosus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-192;;Quesnelia liboniana;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-194;;Quesnelia quesneliana;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-221;;Ravenala madagascariensis;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-264;;Rebutia fiebrigii;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-265;;Rebutia marsoneri;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-267;;Rebutia muscula;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-195;;Rhamnus crenulata;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ST-196;;Rhamnus glandulosa;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ST-200;;Rhaphiolepis x delacourii;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CA-268;;Rhipsalis baccifera;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-270;;Ritterocactus uebelmannianus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-201;;Rubia fruticosa;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-012;;Ruellia brevifolia;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-022;;Ruellia makoyana;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-013;;Ruellia simplex;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-009;;Ruschia lineolata;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-014;;Ruspolia seticalyx;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
ST-001;;Ruttya fruticosa 'Yellow';HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
LAOD;Guisante de jardín;Lathyrus odoratus;TAPIZANTE/TREPADORA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-369;;Smallanthus sonchifolius;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
CA-072;;Sansevieria cylindrica;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-144;;Sansevieria trifasciata;CACTACEA/SUCULENTA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-089;;Sarcococca ruscifolia;ARBUSTO;INSECTOS;1;NO_REPORTADO;SEMICADUCA;ACTIVO
ST-218;;Saxifraga stolonifera;HERB_PERENNES;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-093;;Schefflera elegantissima;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-033;;Schefflera heptaphylla;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
ST-034;;Schefflera veitchii;SUBTROPICAL/TROPICAL;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
CA-295;;Kleinia grantii;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
KAX;Kalanchoes;Kalanchoe sp;CACTACEA/SUCULENTA;INSECTOS;1;TOXICO;DESCONOCIDA;ACTIVO
TR-198;;Schlumbergera × buckleyi;SUBTROPICAL/TROPICAL;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-339;;Sedum burrito;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-340;;Sedum cespitosum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-341;;Sedum nussbaumerianum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
CA-342;;Sedum pachyphyllum;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-200;;Selenicereus anthonyanus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
TR-204;;Selenicereus grandiflorus;CACTACEA/SUCULENTA;INSECTOS;1;NO_REPORTADO;DESCONOCIDA;ACTIVO
